ICCID|MSISDN|Registration Date|LAC ID|CELL ID
32324344|620000011111111|2019-06-22|||
|620000011111111|2019-06-22||
32324344||2019-06-22||
32324344|620000011111111|||
32324344|620000011111111|2019-06-22 23:23:23||
32324344|620000011111111|2019-06-22 23:23:23||
32324344|620000011111112|2019-06-22 23:23:23||
32324344|620000011111113|2019-06-22||
32324344|620000011111115|2019-06-22 23:23:23||
32324344|620000011111114|2019-06-22 23:23:23|2232|2323
32324344|620000011111116|2019-26-22 23:23:23|2323|3737
