REGION|AREA|SALES_AREA|CLUSTER|MICRO_CLUSTER|ORGANIZATION_NAME|NODE_ID|NODE_NAME|POSITION|USER_NAME|COURSE_NAME|COURSE_TYPE|LEVEL_NO|LEVEL_NAME|QUESTION_NAME|ANSWER_NAME|IS_CORRECT
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 33|Learning Course|1|L-1|4+4|8|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 33|Learning Course|2|L-2|||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 34|Learning Course|1|Level 1|3+3|6|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 34|Learning Course|2|Level 2|||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 35|Learning Course|1|L01|||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 35|Learning Course|2|L02|2+2|4|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 36|Learning Course|1|Level 1|4+4|8|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 36|Learning Course|1|Level 1|1+1|2|Pass
|||||XYZ Telecom|20||||courselevel12|Learning Course|1||||
|||||XYZ Telecom|20||||crs289|Learning Course|1||||
|||||XYZ Telecom|20||||NC 38|Learning Course|1||4+4|8|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 38|Learning Course|1||1+1|2|Pass
|||||XYZ Telecom|20||||NC 38|Learning Course|2||||
|||||XYZ Telecom|20||||NC 38|Learning Course|3||3+3|6|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 38|Learning Course|2||||
|||||XYZ Telecom|20||||NC 39|Learning Course|1||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 38|Learning Course|3||2+2|4|Pass
|||||XYZ Telecom|20||||NC 39|Learning Course|2||4+4|8|Pass
|||||XYZ Telecom|20||||NC 39|Learning Course|2||1+1|2|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 39|Learning Course|1||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 39|Learning Course|2||4+4|8|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|NC 39|Learning Course|2||2+2|4|Pass
|||||XYZ Telecom|20||||NC 39|Learning Course|3||4+4|8|Pass
|||||XYZ Telecom|20||||NC 39|Learning Course|3||2+2|4|Pass
|||||XYZ Telecom|20||||NC 39|Learning Course|4||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|Sample course|Learning Course|1||4+4|8|Pass
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|Course test 07-10|Learning Course|1||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|CRS 0710|Learning Course|1||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|CRS 0710|Learning Course|2||||
Regionsl|AREA|SALES AREA|||Siva Dealer|50004|Dealer_SALES AREA_50004|Dealer|SDLR|CRS 0711|Learning Course|1||||
