--  PRODUCT_ID :  11640		SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 1    ADDNL_SL_INFO undefined
--  PRODUCT_ID :  12000		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1,1201,ICCID,1,20 }{2,1202,MSISDN,1,20}{3,1203,IMSI,0,20 } ]
--  PRODUCT_ID :  12150		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1,1201,ICCID,1,20 }{2,1202,MSISDN,1,20}{3,1203,IMSI,0,20 } ]
--  PRODUCT_ID :  12210		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO undefined
--  PRODUCT_ID :  12318     SERIAL_LENGTH  :   0   PRD_SL  : 0    PRD_SL_TYPE  : undefined
--  PRODUCT_ID :  12353     SERIAL_LENGTH  :   15     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO undefined 
--  PRODUCT_ID :  12362     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ empty ]
--  PRODUCT_ID :  12452		SERIAL_LENGTH  :   20     PRD_SL  : 1    PRD_SL_TYPE  : 2    ADDNL_SL_INFO [ {1, 12445, Test Blank, 1, 16 } ]
--  PRODUCT_ID :  12507     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ [ {1, 1201, ICCID, 1, 20 } {2, 1202, MSISDN, 1, 20 } ] ]















































----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|303579|VBILL20191210005|10-12-2019|12318|10|||12-12-2099||||
20||VBILL20191210002|10-12-2019|11640|10|966651000000000011|966651000000000020|12-12-2099||||
20||VBILL20191210002|10-12-2019|12000|10|95501200000000001110|95501200000000001200|12-12-2099|12345600000001110002|12345600000001220002||
20||VBILL20191210002|10-12-2019|12210|10|95550100000000001110|95550100000000001200|12-12-2099||||
20||VBILL20191210003|10-12-2019|12318|10|||12-12-2099||||
20||VBILL20191210004|10-12-2019|12150|10|95555310000000001310|95555310000000001400|12-12-2099|12345600000000111004|12345600000000120004|12345600000000130004|
20||VBILL20191210004|10-12-2019|12353|1|988880000Te0131|988880000Te0131|12-12-2099||||
20||VBILL20191210004|10-12-2019|12362||977770000000TEa131|977770000000TEa131|12-12-2099||||
20||VBILL20191210004|10-12-2019|12452|10|95555410000000001310|95555410000000001400|12-12-2099||||1323132300001114
20||VBILL20191210004|10-12-2019|12507|1|966660000000TE0a31|966660000000TE0a31|12-12-2099|12345010000000010014|12345010000000020014||
20|303579|VBILL20191210001|10-12-2019|11640|10|966651000000000001|966651000000000010|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|11640|10|966651000000000001|966651000000000010|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12000|10|95501200000000000010|95501200000000000100|12-12-2099|12345600000000110001|12345600000000220001||
20|303579|VBILL20191210001|10-12-2019|12000|10|95501200000000001010|95501200000000001100|12-12-2099|12345600000000110001|12345600000001220001||
20|303579|VBILL20191210001|10-12-2019|12150|10|95555310000000000010|95555310000000000100|12-12-2099|12345600000000010001|12345600000000020001|12345600000000030001|
20|303579|VBILL20191210001|10-12-2019|12150|10|95555310000000001010|95555310000000000100|12-12-2099|12345600000000111001|12345600000000120001|12345600000000130001|
20|303579|VBILL20191210001|10-12-2019|12210|10|95550100000000000010|95550100000000000100|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12210|10|95550100000000000010|95550100000000000100|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12318|10|||12-11-2019||||
20|303579|VBILL20191210001|10-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12353|1|988880000TE0101|988880000TE0101|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12353|1|988880000TE0101|988880000TE0101|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12362|1|977770000000TE0101|977770000000TE0101|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12362|1|977770000000TE0101|977770000000TE0101|12-12-2099||||
20|303579|VBILL20191210001|10-12-2019|12452|10|95555410000000000010|95555410000000000100|12-12-2099||||1323132300000001
20|303579|VBILL20191210001|10-12-2019|12452|10|95555410000000001010|95555410000000001100|12-12-2099||||1323132300001111
20|303579|VBILL20191210001|10-12-2019|12507|1|966660000000TE0101|966660000000TE0101|12-12-2099|12345010000000010001|12345010000000020001||
