FROM_NODE|TO_NODE|BILL_NO|BILL_DATE|PRODUCT_ID|QUANTITY|START_SERIAL|END_SERIAL|EXPIRY_DATE|ICCID/ADNL_SN_1|MSISDN/ADNL_SN_2|IMSI/ADNL_SN_3|ADNL_SN_4

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12318     SERIAL_LENGTH  :   0   PRD_SL  : 0    PRD_SL_TYPE  : undefined
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL_A0020191212001|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A0020191212002|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A0020191212003|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A0020191212004|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A0020191212005|04-12-2019|12318|10|||12-12-2099||||


20|303579|VBILL_A1020191212001|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A1020191212002|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A1020191212003|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A1020191212004|04-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL_A1020191212005|04-12-2019|12318|10|||12-12-2099||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12353     SERIAL_LENGTH  :   15     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO undefined 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL_A0020191212001|04-12-2019|12353|1|988880000000F01|988880000000F01|12-12-2099||||
20|303579|VBILL_A0020191212002|04-12-2019|12353|1|988880000000F11|988880000000F11|12-12-2099||||
20|303579|VBILL_A0020191212003|04-12-2019|12353|1|988880000000F21|988880000000F21|12-12-2099||||
20|303579|VBILL_A0020191212004|04-12-2019|12353|1|988880000000F31|988880000000F31|12-12-2099||||
20|303579|VBILL_A0020191212005|04-12-2019|12353|1|988880000000F41|988880000000F41|12-12-2099||||

20|303579|VBILL_A1020191212001|04-12-2019|12353|1|988880000000f0|988880000000f01|12-12-2099||||
20|303579|VBILL_A1020191212002|04-12-2019|12353|1|988880000000f11|98888000000f11|12-12-2099||||
20|303579|VBILL_A1020191212003|04-12-2019|12353||988880000000f21|988880000000f21|12-12-2099||||
20|1|VBILL_A1020191212004|04-12-2019|12353|1|988880000000f31|988880000000f31|12-12-2099||||
20|303579|VBILL_A1020191212005|04-12-2019|12353|1|988880000000f41|988880000000f41|12-11-2019||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12362     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ empty ]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL_A0020191212001|04-12-2019|12362|1|977770000000000F01|977770000000000F01|12-12-2099||||
20|303579|VBILL_A0020191212002|04-12-2019|12362|1|977770000000000F11|977770000000000F11|12-12-2099||||
