select * from interface.ms_interface_attr  where name_v = 'Remote User' order by 1;

 attribute_id_n | interface_id_n |   name_v    | value_v  |     last_updated_time_dt
----------------+----------------+-------------+----------+-------------------------------
        1001003 |           1001 | Remote User | readuser | 2017-12-30 21:05:19.959215+07
        1003003 |           1003 | Remote User | readuser | 2017-12-30 21:05:19.98326+07
        1005003 |           1005 | Remote User | readuser | 2017-12-30 21:05:20.007196+07
        1007003 |           1007 | Remote User | readuser | 2017-12-30 21:05:20.031198+07
        1009003 |           1009 | Remote User | readuser | 2017-12-30 21:05:20.060208+07
        1011003 |           1011 | Remote User | readuser | 2017-12-30 21:05:20.082233+07
        1013003 |           1013 | Remote User | readuser | 2018-01-08 08:51:12.925474+07
        1015003 |           1015 | Remote User | readuser | 2018-01-08 08:51:12.97288+07
        1017003 |           1017 | Remote User | readuser | 2017-12-30 21:05:20.161262+07
        1024003 |           1024 | Remote User | readuser | 2018-01-02 15:08:58.052197+07
        1025003 |           1025 | Remote User | readuser | 2018-01-02 15:08:58.079254+07
        1027003 |           1027 | Remote User | readuser | 2018-01-02 15:08:58.112381+07
        1029003 |           1029 | Remote User | readuser | 2018-01-08 08:51:12.995043+07
        1030003 |           1030 | Remote User | readuser | 2018-03-19 10:21:43.390409+07
        1031003 |           1031 | Remote User | readuser | 2018-03-19 10:21:43.410786+07
        1032003 |           1032 | Remote User | readuser | 2018-03-19 10:21:43.433588+07
        1033003 |           1033 | Remote User | readuser | 2018-03-19 10:21:43.45237+07
        1034003 |           1034 | Remote User | readuser | 2018-03-26 10:50:01.572564+07
        1035003 |           1035 | Remote User | readuser | 2018-03-26 10:50:01.608146+07
        1036003 |           1036 | Remote User | readuser | 2018-03-26 10:50:01.63071+07
        1037003 |           1037 | Remote User | readuser | 2018-03-26 10:50:01.663945+07
        1038003 |           1038 | Remote User | readuser | 2018-03-26 10:50:01.687806+07
        1039003 |           1039 | Remote User | readuser | 2018-03-26 10:50:01.727535+07
        1040003 |           1040 | Remote User | readuser | 2018-03-26 10:50:01.752231+07
        1041003 |           1041 | Remote User | readuser | 2018-03-26 10:50:01.775672+07
        1042003 |           1042 | Remote User | readuser | 2018-03-26 10:50:01.8+07
        1043003 |           1043 | Remote User | readuser | 2018-03-26 10:50:01.822329+07
        1044003 |           1044 | Remote User | readuser | 2018-03-26 10:50:01.844352+07
        1045003 |           1045 | Remote User | readuser | 2018-03-26 10:50:01.866169+07
        1046003 |           1046 | Remote User | readuser | 2018-03-26 10:50:01.890639+07
        1047003 |           1047 | Remote User | readuser | 2018-03-26 10:50:01.914251+07
        1048003 |           1048 | Remote User | readuser | 2018-03-26 10:50:01.935959+07
        1049003 |           1049 | Remote User | readuser | 2018-06-18 13:23:53.22399+07
        1051003 |           1051 | Remote User | readuser | 2018-06-18 16:27:13.88159+07
        1052003 |           1052 | Remote User | readuser | 2018-07-13 14:54:00.22236+07
        1053003 |           1053 | Remote User | readuser | 2018-06-18 13:23:53.287639+07
        1055003 |           1055 | Remote User | readuser | 2018-06-18 13:23:53.316933+07
        1056003 |           1056 | Remote User | readuser | 2018-06-18 13:24:17.657755+07
        1057003 |           1057 | Remote User | readuser | 2018-06-18 16:27:13.910457+07
        1058003 |           1058 | Remote User | readuser | 2018-06-18 16:27:13.937264+07
        1059003 |           1059 | Remote User | readuser | 2018-06-18 16:27:13.964737+07
        1060003 |           1060 | Remote User | readuser | 2018-06-18 16:27:13.990586+07
        1061003 |           1061 | Remote User | readuser | 2018-06-18 16:27:14.01558+07
        1062003 |           1062 | Remote User | readuser | 2018-06-18 16:27:14.059266+07
        1064003 |           1064 | Remote User | readuser | 2018-06-18 16:27:14.090646+07
        1065003 |           1065 | Remote User | readuser | 2018-06-18 16:27:14.120775+07
        1066003 |           1066 | Remote User | readuser | 2018-07-17 17:41:07.23794+07
        1067003 |           1067 | Remote User | readuser | 2018-07-17 17:41:07.270561+07
        1068003 |           1068 | Remote User | readuser | 2018-07-17 17:41:07.303553+07
        1069003 |           1069 | Remote User | readuser | 2018-07-17 17:41:07.335826+07
        1070003 |           1070 | Remote User | readuser | 2018-07-17 17:41:07.368496+07
        1071003 |           1071 | Remote User | readuser | 2018-07-17 17:41:07.400383+07
        1072003 |           1072 | Remote User | readuser | 2018-07-17 17:41:07.432504+07
        1073003 |           1073 | Remote User | readuser | 2018-10-12 21:11:38.229134+07
        1074003 |           1074 | Remote User | readuser | 2018-10-12 21:11:38.26886+07
        1075003 |           1075 | Remote User | readuser | 2018-07-17 17:41:07.458867+07
        1076003 |           1076 | Remote User | readuser | 2018-07-17 17:41:07.491526+07
        1077003 |           1077 | Remote User | readuser | 2018-07-17 17:41:07.524219+07
        1078003 |           1078 | Remote User | readuser | 2018-07-17 17:41:07.555335+07
        1079003 |           1079 | Remote User | readuser | 2018-07-17 17:41:07.587742+07
        1080003 |           1080 | Remote User | readuser | 2018-07-17 17:41:07.621325+07
        1081003 |           1081 | Remote User | readuser | 2018-07-17 17:41:07.65635+07
        1082003 |           1082 | Remote User | readuser | 2018-07-17 17:41:07.692355+07
        1083003 |           1083 | Remote User | readuser | 2018-09-18 16:24:57.841125+07
        1084003 |           1084 | Remote User | readuser | 2018-09-18 16:24:59.133227+07
        1085003 |           1085 | Remote User | readuser | 2018-09-18 16:24:57.861716+07
        1086003 |           1086 | Remote User | readuser | 2018-09-18 16:24:59.189618+07
        1087003 |           1087 | Remote User | readuser | 2018-09-18 16:24:59.23668+07
        1088003 |           1088 | Remote User | readuser | 2018-09-18 16:24:57.88755+07
        1089003 |           1089 | Remote User | readuser | 2018-09-18 16:24:57.912454+07
        1090003 |           1090 | Remote User | readuser | 2018-08-24 10:29:03.869861+07
        1092003 |           1092 | Remote User | readuser | 2018-08-24 10:29:03.966117+07
        1094003 |           1094 | Remote User | readuser | 2018-09-19 14:37:12.379447+07
        1095003 |           1095 | Remote User | readuser | 2018-09-19 14:37:12.414004+07
        1096003 |           1096 | Remote User | readuser | 2018-09-19 14:37:12.462638+07
        1097003 |           1097 | Remote User | readuser | 2018-09-19 14:37:12.500118+07
        1098003 |           1098 | Remote User | readuser | 2018-09-19 14:37:12.551261+07
        1099003 |           1099 | Remote User | readuser | 2018-09-19 14:37:12.587087+07
        1100003 |           1100 | Remote User | readuser | 2018-09-19 14:37:12.621951+07
        1103003 |           1103 | Remote User | readuser | 2018-09-19 14:37:12.658895+07
        1104003 |           1104 | Remote User | readuser | 2018-09-19 14:37:12.70737+07
        1105003 |           1105 | Remote User | readuser | 2018-09-19 14:37:12.738958+07
        1106003 |           1106 | Remote User | readuser | 2018-09-19 14:37:12.771294+07
        1107003 |           1107 | Remote User | readuser | 2018-09-19 14:37:12.799413+07
        1108003 |           1108 | Remote User | readuser | 2018-09-19 14:37:12.824621+07
