interface_id_n,trans_id_n,orgnl_request_data_b,request_data_b,request_time_dt,due_time_dt,ack_data_b,ack_time_dt,orgnl_response_data_b,response_data_b,response_time_dt,status_n,retry_count_n,ref_data1_v,ref_data2_n,ref_data3_n,ref_data4_n,ref_data5_v,last_updated_time_dt
1004,20063817,150532980,150532993,2020-08-15 02:20:40.048,,150532979,2020-08-15 02:20:44.675,150532992,150532994,2020-08-15 12:05:03.34,1304,0,2100117780~237133,23074114,93166,23200368,76,2020-08-15 12:05:03.379+07
1008,20063814,150593359,150593364,2020-08-15 02:14:09.441,,150593358,2020-08-15 02:14:15.884,150593363,150593365,2020-08-15 13:45:02.646,1304,0,1200078920~176448,23074106,93168,23200360,76,2020-08-15 13:45:02.777+07
1010,17884672,135349755,135349757,2020-07-03 02:10:02.674,,,,135349756,135349758,2020-07-03 02:10:02.734,1304,0,,,87784,,,2020-07-03 02:10:02.739+07
1018,20127917,150704607,150704609,2020-08-17 14:47:49.356,,,,150704608,150704610,2020-08-17 14:48:01.905,1304,0,17318274,,,0,17318274,2020-08-17 14:50:02.974+07
1019,19616600,147174914,147174916,2020-08-04 23:15:22.819,,,,147174915,147174917,2020-08-04 23:16:02.509,1304,0,494987,,,0,17257246,2020-08-04 23:17:00.887+07
1020,20121449,150671639,150671641,2020-08-16 07:42:03.373,,,,150671640,150671642,2020-08-16 07:44:02.34,1304,0,525913,,,0,17291349,2020-08-16 07:44:04.63+07
1021,20127918,150704599,150704601,2020-08-17 14:48:01.908,,,,150704600,150704602,2020-08-17 14:50:02.232,1304,0,17318274,,20127917,0,MOBII270508,2020-08-17 14:50:02.241+07
1022,19707782,147785108,147785110,2020-08-06 14:38:21.048,,,,147785109,147785111,2020-08-06 14:40:01.686,1304,0,242297,,,1,CVS-JPR-04,2020-08-06 14:40:03.223+07
1023,20049063,150195502,150195504,2020-08-14 13:44:32.267,,,,150195503,150195505,2020-08-14 13:46:02.545,1304,0,405805,,,0,CSOWESTKALBAR2,2020-08-14 13:46:09.314+07
1026,19567453,146838975,146838977,2020-08-04 02:41:54.806,,,,146838976,146838978,2020-08-04 02:44:17.314,1304,0,1569866,,91745,62608,2,2020-08-04 02:44:17.319+07
1028,20063980,150343285,150343287,2020-08-15 02:30:15.972,,,,150343286,150343288,2020-08-15 02:36:04.069,1304,0,SRI9215344,,93167,147775,3,2020-08-15 02:36:04.075+07
1063,19510753,146462183,146462185,2020-08-02 10:39:29.997,,,,146462184,146462186,2020-08-02 10:39:46.462,1304,0,,,91500,,,2020-08-02 10:39:46.53+07
1093,19022902,142934644,142934646,2020-07-26 18:50:02.706,,,,142934645,142934647,2020-07-26 18:50:15.348,1304,0,92198160,,90706,474513,1,2020-07-26 18:50:15.353+07
1136,20127955,150705000,150705002,2020-08-17 17:08:37.191,,,,150705003,150705004,2020-08-17 17:08:37.4,1304,0,D3070023,0,0,0,950259,2020-08-17 17:08:37.189983+07
