   tabletype   |                   table                    | rowcount  | totalmemory | averagerowsize 
 Transactional | kpi.tr_daily_addon_customer_aggr           |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_aquisition_revenue_aggr       |   2555042 | 305 MB      | 125 bytes
 Transactional | kpi.tr_daily_balance_transfer_aggr         |  15521536 | 2153 MB     | 145 bytes
 Transactional | kpi.tr_daily_closing_balance_aggr          |  18123701 | 2023 MB     | 117 bytes
 Transactional | kpi.tr_daily_cross_data_aggr               |     13215 | 1976 kB     | 153 bytes
 Transactional | kpi.tr_daily_cross_reload_aggr             |     16520 | 2624 kB     | 162 bytes
 Transactional | kpi.tr_daily_custom_metrics_aggr           |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_daily_sso_aggr                |   5925181 | 901 MB      | 159 bytes
 Transactional | kpi.tr_daily_entity_ranking_aggr           |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_entity_summary_aggr           |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_event_attribute_aggr          |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_event_crossell_aggr           |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_event_metrics_aggr            |  28644152 | 7370 MB     | 269 bytes
 Transactional | kpi.tr_daily_event_territory_aggr          |     10577 | 49 MB       | 4862 bytes
 Transactional | kpi.tr_daily_hierarchy_summary_aggr        |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_indosat_transfer_aggr         |   2194069 | 249 MB      | 119 bytes
 Transactional | kpi.tr_daily_inventory_expiry_ledger       |        16 | 3080 kB     | 193 kB
 Transactional | kpi.tr_daily_inventory_ledger              |   9785090 | 1933 MB     | 207 bytes
 Transactional | kpi.tr_daily_low_revenue_site_aggr         |    129116 | 20 MB       | 163 bytes
 Transactional | kpi.tr_daily_mobo_crosselling_aggr         |         0 | 0 bytes     | 0 bytes
 Transactional | kpi.tr_daily_mobo_revenue_aggr             |   2704373 | 394 MB      | 152 bytes
 Transactional | kpi.tr_daily_mobo_transaction_aggr         |  41358359 | 5896 MB     | 149 bytes
