tabletype|table|rowcount|totalmemory|averagerowsize
Transactional|kpi.tr_daily_addon_customer_aggr|0|0bytes|0bytes
Transactional|kpi.tr_daily_aquisition_revenue_aggr|2555042|305MB|125bytes
Transactional|kpi.tr_daily_closing_balance_aggr|18123701|2023MB|117bytes
Transactional|kpi.tr_daily_cross_data_aggr|13215|1976kB|153bytes
Transactional|kpi.tr_daily_cross_reload_aggr|16520|2624kB|162bytes
Transactional|kpi.tr_daily_daily_sso_aggr|5925181|901MB|159bytes
Transactional|kpi.tr_daily_indosat_transfer_aggr|2194069|249MB|119bytes
Transactional|kpi.tr_daily_low_revenue_site_aggr|129116|20MB|163bytes
Transactional|kpi.tr_daily_mobo_revenue_aggr|2704373|394MB|152bytes
Transactional|kpi.tr_daily_mobo_transaction_aggr|41358359|5896MB|149bytes
Transactional|kpi.tr_daily_org_balance_aggr|168749330|20GB|126bytes
Transactional|kpi.tr_daily_org_transfer_aggr|12042032|1640MB|142bytes
Transactional|kpi.tr_daily_package_act_buyer_aggr|30|8192bytes|273bytes
Transactional|kpi.tr_daily_package_act_seller_aggr|12|8192bytes|682bytes
Transactional|kpi.tr_daily_primary_mobo_aggr|13845|1944kB|143bytes
Transactional|kpi.tr_daily_reload_buyer_aggr|113|16kB|144bytes
Transactional|kpi.tr_daily_reload_customer_aggr|0|0bytes|0bytes
Transactional|kpi.tr_daily_reload_seller_aggr|28|8192bytes|292bytes
Transactional|kpi.tr_daily_reload_sellinout_aggr|0|0bytes|0bytes
Transactional|kpi.tr_daily_rguga_injection_aggr|9793864|1445MB|154bytes
Transactional|kpi.tr_daily_sale_revenue_lacci_aggr|81|16kB|202bytes
Transactional|kpi.tr_daily_sale_revenue_org_aggr|0|0bytes|0bytes
Transactional|kpi.tr_daily_secondary_mobo_aggr|4011686|585MB|152bytes
Transactional|kpi.tr_daily_site_rguga_aggr|1548465|247MB|167bytes
Transactional|kpi.tr_daily_sp_tagging_aggr|483419|72MB|155bytes
Transactional|kpi.tr_daily_subscriber_event_aggr|0|0bytes|0bytes
Transactional|kpi.tr_daily_tertiary_sales_aggr|15802503|2313MB|153bytes
