ID	NAME	TYPE	TEMPORARY_TABLE	VALIDATION_TABLE	DAILY_TABLE	MONTHLY_TABLE	FAILURE_TABLE
1064	INTSM023 - Org To Org Transfer	SM	kpi.tr_temp_upload_metrics_revenue_aggr	kpi.tr_temp_org_to_org_validation	kpi.tr_daily_org_transfer_aggr	kpi.tr_monthly_org_transfer_aggr	kpi.tr_temp_upload_aggr_failure
1065	INTSM024 - Indosat to Org Transfer	SM	kpi.tr_temp_upload_metrics_revenue_aggr	kpi.tr_temp_indosat_to_org_validation	kpi.tr_daily_indosat_transfer_aggr	kpi.tr_monthly_indosat_transfer_aggr	kpi.tr_temp_upload_aggr_failure
1066	INTDW004 - Sale Revenue LACCI	DWH	kpi.tr_temp_upload_metrics_direct_aggr		kpi.tr_daily_sale_revenue_lacci_aggr	kpi.tr_monthly_sale_revenue_lacci_aggr	kpi.tr_temp_upload_aggr_failure
1067	INTDW005 - Sale Revenue Organization	DWH	kpi.tr_temp_upload_metrics_revenue_aggr		kpi.tr_daily_sale_revenue_org_aggr	kpi.tr_monthly_sale_revenue_org_aggr	kpi.tr_temp_upload_aggr_failure
1068	INTDW006 - Package Activation A#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_package_act_seller_aggr	kpi.tr_monthly_package_act_seller_aggr	kpi.tr_temp_upload_aggr_failure
1069	INTDW007 - Package Activation B#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_package_act_buyer_aggr	kpi.tr_monthly_package_act_buyer_aggr	kpi.tr_temp_upload_aggr_failure
1070	INTDW008 - Usage Revenue LACCI	DWH	kpi.tr_temp_upload_metrics_revenue_aggr		kpi.tr_daily_usage_metrics_aggr	kpi.tr_monthly_usage_metrics_aggr	kpi.tr_temp_upload_aggr_failure
1071	INTDW015 - SGE	DWH	kpi.tr_temp_upload_metrics_direct_aggr		kpi.tr_daily_subscriber_event_aggr	kpi.tr_monthly_subscriber_event_aggr	kpi.tr_temp_upload_aggr_failure
1075	INTSM018 - Transaction Summary	SM	kpi.tr_temp_upload_metrics_trans_aggr		kpi.tr_daily_mobo_transaction_aggr	kpi.tr_monthly_mobo_transaction_aggr	kpi.tr_temp_upload_aggr_failure
1076	INTDW009 - Reload A#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_reload_seller_aggr	kpi.tr_monthly_reload_seller_aggr	kpi.tr_temp_upload_aggr_failure
1077	INTDW010 - Reload B#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_reload_buyer_aggr	kpi.tr_monthly_reload_buyer_aggr	kpi.tr_temp_upload_aggr_failure
1078	INTDW012 - Usage A#B#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_usage_customer_aggr	kpi.tr_monthly_usage_customer_aggr	kpi.tr_temp_upload_aggr_failure
1079	INTDW013 - Add On A#B#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_addon_customer_aggr	kpi.tr_monthly_addon_customer_aggr	kpi.tr_temp_upload_aggr_failure
1080	INTDW014 - Reload A#B#	DWH	kpi.tr_temp_upload_metrics_aggr		kpi.tr_daily_reload_customer_aggr	kpi.tr_monthly_reload_customer_aggr	kpi.tr_temp_upload_aggr_failure
1081	INTDW011 - Reload Sellin-Sellout	DWH	kpi.tr_temp_upload_metrics_direct_aggr		kpi.tr_daily_reload_sellinout_aggr	kpi.tr_monthly_reload_sellinout_aggr	kpi.tr_temp_upload_aggr_failure
1082	INTSM019 - Organization Balance	SM	kpi.tr_temp_upload_metrics_orgbal_aggr		kpi.tr_daily_org_balance_aggr	kpi.tr_monthly_org_balance_aggr	kpi.tr_temp_upload_aggr_failure
1153	INTDW024 - Secondary MOBO	DWH	kpi.tr_temp_secondary_mobo_aggr		kpi.tr_daily_secondary_mobo_aggr	kpi.tr_monthly_secondary_mobo_aggr	kpi.tr_temp_upload_aggr_failure
1165	INTHDP001 - Site Mapping	HDP	interface.tr_temp_site_mapping	interface.tr_temp_site_mapping			interface.tr_temp_site_mapping
1166	INTHDP002 - Primary MOBO	HDP	kpi.tr_temp_primary_mobo_aggr	kpi.tr_validate_primary_mobo_aggr	kpi.tr_daily_primary_mobo_aggr	kpi.tr_monthly_primary_mobo_aggr	kpi.tr_temp_hadoop_failure_aggr
1167	INTHDP003 - Secondary MOBO	HDP	kpi.tr_temp_secondary_mobo_aggr	kpi.tr_validate_secondary_mobo_aggr	kpi.tr_daily_secondary_mobo_aggr	kpi.tr_monthly_secondary_mobo_aggr	kpi.tr_temp_hadoop_failure_aggr
